,it,run,HV,fe
0,0,0,0.08761743703703703,67.0
1,0,1,0.09449940000000001,67.0
2,0,10,0.08946189629629626,67.0
3,0,11,0.09276722962962958,67.0
4,0,12,0.09047721481481483,67.0
5,0,13,0.08870234814814809,67.0
6,0,14,0.08694046666666662,67.0
7,0,15,0.09250305925925928,67.0
8,0,16,0.09171150370370369,67.0
9,0,17,0.0917694074074074,67.0
10,0,18,0.09102679259259258,67.0
11,0,19,0.09650654814814812,67.0
12,0,2,0.09066820740740739,67.0
13,0,3,0.092582162962963,67.0
14,0,4,0.09357356296296299,67.0
15,0,5,0.09070081481481485,67.0
16,0,6,0.09749329629629633,67.0
17,0,7,0.09204985925925932,67.0
18,0,8,0.09251139259259261,67.0
19,0,9,0.09300105185185187,67.0
20,1,0,0.12575656296296292,202.0
21,1,1,0.12399202962962966,202.0
22,1,10,0.12416265925925929,202.0
23,1,11,0.12480586666666671,202.0
24,1,12,0.12555714814814822,202.0
25,1,13,0.1269317111111111,202.0
26,1,14,0.12172674814814817,202.0
27,1,15,0.12755703703703708,202.0
28,1,16,0.12657323703703705,202.0
29,1,17,0.1248417555555556,202.0
30,1,18,0.12471941481481481,202.0
31,1,19,0.12945428148148147,202.0
32,1,2,0.12288454814814813,202.0
33,1,3,0.1244118740740741,202.0
34,1,4,0.13054231111111111,202.0
35,1,5,0.12465208888888894,202.0
36,1,6,0.1303614296296296,202.0
37,1,7,0.12779902222222217,202.0
38,1,8,0.12644434814814812,202.0
39,1,9,0.12589027407407408,202.0
40,2,0,0.13899979259259265,337.0
41,2,1,0.13783994814814815,337.0
42,2,10,0.13703620740740735,337.0
43,2,11,0.137372888888889,337.0
44,2,12,0.13902788888888887,337.0
45,2,13,0.13854322222222223,337.0
46,2,14,0.1358399629629629,337.0
47,2,15,0.1396514296296296,337.0
48,2,16,0.1379582296296296,337.0
49,2,17,0.13617433333333337,337.0
50,2,18,0.13812126666666663,337.0
51,2,19,0.13734538518518516,337.0
52,2,2,0.13669648148148156,337.0
53,2,3,0.13676313333333345,337.0
54,2,4,0.14269974074074077,337.0
55,2,5,0.13973457037037043,337.0
56,2,6,0.1395556370370372,337.0
57,2,7,0.13738150370370375,337.0
58,2,8,0.13811387407407405,337.0
59,2,9,0.13707509629629627,337.0
60,3,0,0.14613865925925917,472.0
61,3,1,0.14774608888888877,472.0
62,3,10,0.14505815555555568,472.0
63,3,11,0.14495351851851843,472.0
64,3,12,0.14628062962962954,472.0
65,3,13,0.14600684444444456,472.0
66,3,14,0.14509689629629638,472.0
67,3,15,0.14821617037037035,472.0
68,3,16,0.14356167407407405,472.0
69,3,17,0.1422553555555555,472.0
70,3,18,0.14842719259259254,472.0
71,3,19,0.14415754814814824,472.0
72,3,2,0.14586997777777774,472.0
73,3,3,0.1424568814814815,472.0
74,3,4,0.1492065703703704,472.0
75,3,5,0.14694777037037024,472.0
76,3,6,0.14660682962962965,472.0
77,3,7,0.14408598518518517,472.0
78,3,8,0.14791352592592594,472.0
79,3,9,0.14639205185185175,472.0
80,4,0,0.15168520740740746,607.0
81,4,1,0.153743674074074,607.0
82,4,10,0.15034553333333342,607.0
83,4,11,0.15104850370370373,607.0
84,4,12,0.15074796296296314,607.0
85,4,13,0.15237628148148152,607.0
86,4,14,0.15174326666666654,607.0
87,4,15,0.1531754666666666,607.0
88,4,16,0.15061546666666661,607.0
89,4,17,0.1476935777777778,607.0
90,4,18,0.154172488888889,607.0
91,4,19,0.1491015037037037,607.0
92,4,2,0.15218442962962955,607.0
93,4,3,0.14903087407407412,607.0
94,4,4,0.1529666,607.0
95,4,5,0.1520161185185186,607.0
96,4,6,0.1532314,607.0
97,4,7,0.15095745925925927,607.0
98,4,8,0.15385014814814818,607.0
99,4,9,0.15222289629629634,607.0
100,5,0,0.1557775111111111,742.0
101,5,1,0.15722846666666654,742.0
102,5,10,0.1549299925925925,742.0
103,5,11,0.15628126666666672,742.0
104,5,12,0.15560501481481484,742.0
105,5,13,0.15572153333333333,742.0
106,5,14,0.15654741481481474,742.0
107,5,15,0.15632372592592594,742.0
108,5,16,0.15608407407407404,742.0
109,5,17,0.1519096888888888,742.0
110,5,18,0.1577645407407407,742.0
111,5,19,0.15347632592592603,742.0
112,5,2,0.15688872592592581,742.0
113,5,3,0.15530523703703697,742.0
114,5,4,0.15600707407407405,742.0
115,5,5,0.15616522222222212,742.0
116,5,6,0.15647726666666673,742.0
117,5,7,0.15481214074074068,742.0
118,5,8,0.1585108518518518,742.0
119,5,9,0.1577495185185185,742.0
120,6,0,0.15926117037037024,877.0
121,6,1,0.15979311851851855,877.0
122,6,10,0.15800197037037045,877.0
123,6,11,0.15959271851851853,877.0
124,6,12,0.15887775555555558,877.0
125,6,13,0.15785003703703712,877.0
126,6,14,0.1606904074074075,877.0
127,6,15,0.158729111111111,877.0
128,6,16,0.15947104444444452,877.0
129,6,17,0.1549473777777778,877.0
130,6,18,0.16023026666666665,877.0
131,6,19,0.15660597777777768,877.0
132,6,2,0.16039817777777782,877.0
133,6,3,0.15831673333333326,877.0
134,6,4,0.1583942,877.0
135,6,5,0.15883585925925928,877.0
136,6,6,0.1597076962962963,877.0
137,6,7,0.15795400740740742,877.0
138,6,8,0.161688962962963,877.0
139,6,9,0.16094373333333328,877.0
140,7,0,0.1619332592592593,1012.0
141,7,1,0.16228291111111104,1012.0
142,7,10,0.1601823407407407,1012.0
143,7,11,0.1623178148148147,1012.0
144,7,12,0.1618498666666667,1012.0
145,7,13,0.16049866666666668,1012.0
146,7,14,0.16297379259259268,1012.0
147,7,15,0.1615198222222222,1012.0
148,7,16,0.1617953925925926,1012.0
149,7,17,0.15801732592592596,1012.0
150,7,18,0.16254421481481476,1012.0
151,7,19,0.15896612592592593,1012.0
152,7,2,0.16334447407407396,1012.0
153,7,3,0.16129550370370382,1012.0
154,7,4,0.16093602962962977,1012.0
155,7,5,0.16137714814814824,1012.0
156,7,6,0.16210568888888893,1012.0
157,7,7,0.16053132592592576,1012.0
158,7,8,0.16407525185185182,1012.0
159,7,9,0.16309640740740747,1012.0
160,8,0,0.16442717777777785,1147.0
161,8,1,0.16528400000000004,1147.0
162,8,10,0.16246397777777796,1147.0
163,8,11,0.16481323703703696,1147.0
164,8,12,0.1641509185185185,1147.0
165,8,13,0.16316508888888898,1147.0
166,8,14,0.16469448888888877,1147.0
167,8,15,0.16327191111111108,1147.0
168,8,16,0.163907762962963,1147.0
169,8,17,0.16035069629629622,1147.0
170,8,18,0.16435220740740744,1147.0
171,8,19,0.16073926666666657,1147.0
172,8,2,0.16590880740740754,1147.0
173,8,3,0.16312537037037045,1147.0
174,8,4,0.16339274814814828,1147.0
175,8,5,0.16306165185185184,1147.0
176,8,6,0.16437602222222225,1147.0
177,8,7,0.16287677777777768,1147.0
178,8,8,0.1663325777777777,1147.0
179,8,9,0.1652758962962963,1147.0
180,9,0,0.1657752074074074,1282.0
181,9,1,0.16670365925925923,1282.0
182,9,10,0.16446509629629621,1282.0
183,9,11,0.16669496296296293,1282.0
184,9,12,0.1655221999999999,1282.0
185,9,13,0.1649018148148147,1282.0
